level_id,level_name,map_path,next_level_id,total_length,minimum_slack_ratio,background_color,vessel_color,base_width,tip_width,width_variation,wrap_edges
first_link,FIRST LINK,data/maps/first_link.csv,around_block,700,,,,,,,1
around_block,AROUND BLOCK,data/maps/around_block.csv,clot_path,1250,1.05,#140D12,#861B2B,16,16,0.16,0
clot_path,CLOT PATH,data/maps/clot_path.csv,,2450,1.05,#120B10,#861B2B,16,16,0.16,0
test_01,test_00,data/maps/test_01.csv,,2450,,,,,,,0
test_02,test_02,data/maps/test_02.csv,,1500,,,,,,,1
test_03,test_03,data/maps/test_02.csv,,1500,,,,,,,1
test_04,test_04,data/maps/test_02.csv,,1500,,,,,,,1
test_05,test_05,data/maps/test_02.csv,,1500,,,,,,,1
test_06,test_06,data/maps/test_02.csv,,1500,,,,,,,1
test_07,test_07,data/maps/test_02.csv,,1500,,,,,,,1
test_08,test_08,data/maps/test_02.csv,,1500,,,,,,,1
test_09,test_09,data/maps/test_02.csv,,1500,,,,,,,1
test_10,test_10,data/maps/test_02.csv,,1500,,,,,,,1
test_11,test_11,data/maps/test_02.csv,,1500,,,,,,,1
