instance_id,source_preset_id,node_type,texture_path,width_tiles,height_tiles,display_name,tile_x,tile_y,max_incoming,max_outgoing,max_outgoing_length
heart,heart_root,,,,,心臓,38,23,,,
bone_01,bone_dead,,,,,,35,6,,,
bone_02,bone_dead,,,,,,23,20,,,
bone_03,bone_dead,,,,,,48,19,,,
bone_04,bone_dead,,,,,,35,31,,,
bone_05,bone_dead,,,,,,35,6,,,
bone_06,bone_dead,,,,,,35,31,,,
organ_01,organ_follow,,assets/textures/node/liver.png,,,肝臓,29,13,,,
organ_02,organ_follow,,assets/textures/node/lung.png,,,肺,10,23,,,
brain,brain_end,,,,,脳,27,36,,,
organ_03,organ_follow,,assets/textures/node/lung.png,,,肺,50,12,,,
organ_04,organ_follow,,assets/textures/node/stomach.png,,,胃,66,22,,,
organ_05,organ_follow,,assets/textures/node/stomach.png,,,胃,53,35,,,
